 Excitation   ExcitLevel   Seniority    Walkers    Amplitude    Init?   Proc
0001001100000000000000100000000000000000    3    2    34.72860      0.00160  Y     47
0110000000000000001000000000000001000000    2    4   -34.62680      0.00159  Y     26
0000100011010000000000000000000000000000    4    2   -34.48557      0.00159  Y     34
0100100000000000001000000000000000000100    3    4    34.26586      0.00158  Y     26
0000011000001000000000010000000000000000    4    4   -34.22661      0.00158  Y      1
1100000000000010000000000000000000010000    2    2    34.16888      0.00157  Y     10
0110000000000000000000000000000000001001    2    4   -33.98936      0.00156  Y      5
0010010001000000000000001000000000000000    3    4    33.75657      0.00155  Y     60
0001000100101000000000000000000000000000    3    4   -33.63167      0.00155  Y     45
0000011000000001000000001000000000000000    4    4    33.61877      0.00155  Y     53
0000100001001001000000000000000000000000    4    4    32.79426      0.00151  Y      9
0101000000000000000000001000000000100000    2    4    32.68825      0.00150  Y     18
1000100000000000000100000100000000000000    3    4   -32.65937      0.00150  Y     49
1000001001010000000000000000000000000000    3    4   -32.65594      0.00150  Y     17
1000001001000000000000000100000000000000    3    4    32.38102      0.00149  Y     49
0001000010001100000000000000000000000000    3    2   -32.29069      0.00149  Y     15
1010000000000000000100010000000000000000    2    4    32.25711      0.00148  Y     19
0010010000001001000000000000000000000000    3    4    32.16879      0.00148  Y      3
0010100000000001000100000000000000000000    3    4   -32.16077      0.00148  Y     31
0110000000000100000000000000000010000000    2    4   -32.15450      0.00148  Y     53
0110000000000000000000000000000000000110    2    4    32.14730      0.00148  Y     43
0000011000000100000000100000000000000000    4    4    32.13965      0.00148  Y     22
1000000011000100000000000000000000000000    3    2   -32.03494      0.00147  Y     53
0010000100010000100000000000000000000000    3    4   -31.89092      0.00147  Y     63
0100000000000011100000000000000000000000    3    2    31.84570      0.00147  Y     20
0010010001100000000000000000000000000000    3    4    31.61780      0.00146  Y     44
0000100010000001000100000000000000000000    4    4   -31.61514      0.00146  Y     21
0000001100000000110000000000000000000000    4    0    31.33262      0.00144  Y     62
1000000101100000000000000000000000000000    3    4    31.24701      0.00144  Y     27
0000000000110011000000000000000000000000    4    0    31.24232      0.00144  Y     34
1000100000000000000100000000000000000100    3    4   -31.19937      0.00144  Y      5
0000011000000000000000000000011000000000    4    4   -31.18579      0.00144  Y     50
0101000000001000000000100000000000000000    2    4   -31.15935      0.00143  Y     22
0100010000000000000010000000100000000000    3    4   -30.96412      0.00143  Y      1
1100000100000000000000000000000000000010    2    2   -30.94872      0.00142  Y     28
0000011010000000000100000000000000000000    4    4    30.90682      0.00142  Y     39
1010000000000000000000000100000000010000    2    4    30.85310      0.00142  Y     36
0100100000000000000000100000000000000001    3    4    30.85264      0.00142  Y     25
1000000101000000000000001000000000000000    3    4   -30.83951      0.00142  Y     11
0100100000000000000100000000000000001000    3    4   -30.74850      0.00142  Y     55
0000011000000000010000000000000010000000    4    4   -30.64198      0.00141  Y     57
1000010000000000000000010000000000000010    3    4    30.60563      0.00141  Y     27
0011000000001000010000000000000000000000    2    2    30.47970      0.00140  Y     35
0000100101000000001000000000000000000000    4    4    30.21898      0.00139  Y     34
1000001000010000000000010000000000000000    3    4   -30.18696      0.00139  Y     14
0000011000000000010000100000000000000000    4    4    29.93137      0.00138  Y     37
0000010000100000000011000000000000000000    4    2    29.59413      0.00136  Y     20
0000110001000000000000100000000000000000    4    2   -29.49150      0.00136  Y     32
