nodes' data
i      configuration       h_ii      ci
3  74    0   1000.0
3  75    0   1000.0
3  76    0   1000.0
3  77    0   1000.0
3  78    0   1000.0
3  79    0   1000.0
3  80    0.02742680993398618   36.460674880050156
3  81    -0.006936475821208384   144.16542719611076
3  82    0.04110226894667844   24.329557117571536
3  83    0   1000.0
3  84    0   1000.0
3  85    0   1000.0
3  86    0   1000.0
3  87    0   1000.0
3  88    0   1000.0
3  89    -0.01166036756918407   85.76058979845476
3  90    0   1000.0
3  91    0.03837971274242848   26.055432116210383
3  92    -0.03161602460063094   31.629530044711682
3  93    0   1000.0
3  94    0   1000.0
3  95    0   1000.0
3  96    0   1000.0
3  97    0   1000.0
3  98    0   1000.0
3  99    -0.01902665458912614   52.5578469570529
4  5    0   1000.0
4  6    -0.007413089084727029   134.8965307944661
4  7    0   1000.0
4  8    0.0833277482552379   12.000804305151028
4  9    0.03825634520462777   26.13945463559422
4  10    0.0833277482552379   12.000804305151028
4  11    0.03511993007993483   28.473860788559282
4  12    -0.04507140305061012   22.18701731732452
4  13    0   1000.0
4  14    -0.04703427455071438   21.261091184084428
4  15    -0.04320423351584967   23.145879897004665
4  16    0   1000.0
4  17    0.01703705003942958   58.6956073783699
4  18    0.06816096101965657   14.671154646889667
4  19    0   1000.0
4  20    0   1000.0
4  21    -0.02203009601970455   45.39244854428062
4  22    0   1000.0
4  23    -0.014090586718961275   70.96936557328236
4  24    -0.03667114367877384   27.269397670267498
4  25    0   1000.0
4  26    0   1000.0
4  27    0   1000.0
4  28    0.0801975971556711   12.469201515587876
4  29    0.03598576491872704   27.788765981728474
4  30    -0.05007635163768832   19.96950591039829
4  31    0   1000.0
4  32    0.03413322456785443   29.296968354456844
4  33    0   1000.0
4  34    -0.03349218075207478   29.857715369521042
4  35    0   1000.0
4  36    0.01015502476267636   98.4734181717987
4  37    0   1000.0
4  38    0   1000.0
4  39    0   1000.0
4  40    -0.02661401264303652   37.57419121320088
4  41    -0.02925805459404681   34.17862239560766
4  42    0   1000.0
4  43    0   1000.0
4  44    0.04685839642897167   21.34089248051431
4  45    0.021782043842639   45.909374125970224
4  46    0   1000.0
4  47    0   1000.0
4  48    0   1000.0
4  49    0   1000.0
4  50    0   1000.0
4  51    0   1000.0
4  52    0   1000.0
4  53    0.03208466689151281   31.16753567619319
4  54    0   1000.0
4  55    0   1000.0
4  56    -0.017942647155813   55.73313632687824
4  57    0   1000.0
4  58    0   1000.0
4  59    0.0433557632602897   23.06498432506936
4  60    -0.00819838658346377   121.9752191262864
4  61    0   1000.0
4  62    0.02091034310427037   47.82322293868899
4  63    0   1000.0
4  64    0   1000.0
4  65    0   1000.0
4  66    0   1000.0
4  67    -0.03628657202147634   27.558403681894955
4  68    0   1000.0
4  69    0   1000.0
4  70    -0.02139801586649605   46.733304911963835
4  71    0   1000.0
4  72    0   1000.0
4  73    0   1000.0
4  74    0   1000.0
4  75    0.02742680993398618   36.460674880050156
4  76    0   1000.0
4  77    0   1000.0
4  78    0   1000.0
4  79    0   1000.0
4  80    0   1000.0
4  81    -0.003924521434403533   254.80813819328384
4  82    0   1000.0
4  83    0.0103897598945566   96.24861499676423
4  84    -0.03161602460063094   31.629530044711682
4  85    0.013058012302386672   76.5813338847311
4  86    0   1000.0
4  87    0   1000.0
4  88    0   1000.0
4  89    0   1000.0
4  90    0   1000.0
4  91    0   1000.0
4  92    0   1000.0
4  93    -0.00995780419390985   100.42374609169315
4  94    0   1000.0
4  95    0   1000.0
4  96    0   1000.0
4  97    0   1000.0
4  98    0.05090418034402237   19.64475202707844
4  99    0   1000.0
5  6    0   1000.0
5  7    -0.007413089084727029   134.8965307944661
5  8    0.0833277482552379   12.000804305151028
5  9    0.03825634520462777   26.13945463559422
5  10    0.0833277482552379   12.000804305151028
5  11    0   1000.0
5  12    -0.04507140305061012   22.18701731732452
5  13    0.03511993007993483   28.473860788559282
5  14    -0.04320423351584967   23.145879897004665
5  15    -0.04703427455071438   21.261091184084428
5  16    0.01703705003942958   58.6956073783699
5  17    0   1000.0
5  18    0   1000.0
5  19    0.06816096101965657   14.671154646889667
5  20    -0.02203009601970455   45.39244854428062
5  21    0   1000.0
5  22    -0.014090586718961275   70.96936557328236
5  23    0   1000.0
5  24    0   1000.0
5  25    -0.03667114367877384   27.269397670267498
5  26    0.0801975971556711   12.469201515587876
5  27    0.03598576491872704   27.788765981728474
5  28    0   1000.0
5  29    0   1000.0
5  30    0   1000.0
5  31    -0.05007635163768832   19.96950591039829
5  32    0   1000.0
5  33    0.03413322456785443   29.296968354456844
5  34    0   1000.0
5  35    -0.03349218075207478   29.857715369521042
5  36    0   1000.0
5  37    0   1000.0
5  38    0.01015502476267636   98.4734181717987
5  39    -0.02661401264303652   37.57419121320088
5  40    0   1000.0
5  41    0   1000.0
5  42    0   1000.0
5  43    -0.02925805459404681   34.17862239560766
5  44    0   1000.0
5  45    0   1000.0
5  46    0.04685839642897167   21.34089248051431
5  47    0.021782043842639   45.909374125970224
5  48    0   1000.0
5  49    0   1000.0
5  50    0   1000.0
5  51    0   1000.0
5  52    0.03208466689151281   31.16753567619319
5  53    0   1000.0
5  54    0   1000.0
5  55    -0.017942647155813   55.73313632687824
5  56    0   1000.0
5  57    0.0433557632602897   23.06498432506936
5  58    0   1000.0
5  59    0   1000.0
5  60    0   1000.0
5  61    0.02091034310427037   47.82322293868899
5  62    0   1000.0
5  63    -0.00819838658346377   121.9752191262864
5  64    0   1000.0
5  65    0   1000.0
5  66    0   1000.0
5  67    0   1000.0
5  68    -0.03628657202147634   27.558403681894955
5  69    0   1000.0
5  70    0   1000.0
5  71    -0.02139801586649605   46.733304911963835
5  72    0   1000.0
5  73    0.02742680993398618   36.460674880050156
5  74    0   1000.0
5  75    0   1000.0
5  76    0   1000.0
5  77    0   1000.0
5  78    0   1000.0
5  79    -0.003924521434403533   254.80813819328384
5  80    0.0103897598945566   96.24861499676423
5  81    0   1000.0
5  82    -0.03161602460063094   31.629530044711682
5  83    0   1000.0
5  84    0   1000.0
5  85    0   1000.0
5  86    0   1000.0
5  87    0   1000.0
5  88    0   1000.0
5  89    -0.01817882497168291   55.00905595150932
5  90    0   1000.0
5  91    0.05090418034402237   19.64475202707844
5  92    0.04110226894667844   24.329557117571536
5  93    0   1000.0
5  94    0   1000.0
5  95    0   1000.0
5  96    0   1000.0
5  97    0   1000.0
5  98    0   1000.0
5  99    0.013058012302386672   76.5813338847311
6  7    -0.04857122130608574   20.588323149179384
6  8    0   1000.0
6  9    0   1000.0
6  10    -0.02203009601970455   45.39244854428062
6  11    0   1000.0
6  12    0   1000.0
6  13    0.0931679452757488   10.733305291216887
6  14    0   1000.0
6  15    0.02925805459404681   34.17862239560766
6  16    0.04352201509414506   22.976877284676284
6  17    -0.02475117312903018   40.40212537752883
6  18    0.05688137325427246   17.5804475663725
6  19    0   1000.0
6  20    0   1000.0
6  21    0.0833277482552379   12.000804305151028
6  22    0   1000.0
6  23    0   1000.0
6  24    0.1111921968501372   8.993436844743535
6  25    0   1000.0
6  26    0.03825634520462777   26.13945463559422
6  27    0   1000.0
6  28    0   1000.0
6  29    0   1000.0
6  30    -0.03349218075207478   29.857715369521042
6  31    0.07788208930762262   12.839922617511574
6  32    -0.03628657202147634   27.558403681894955
6  33    0   1000.0
